120,ZI11216,1/1/2015,17,929372,927000
121,ZI11216,2/1/2015,24,1391713,1000000
122,ZI11216,3/1/2015,29,1275013,1100000
123,ZI11216,4/1/2015,32,1196666,1097500
124,ZI11216,5/1/2015,25,1026120,890000
125,ZI11216,6/1/2015,25,1095711,999999
126,ZI11216,7/1/2015,27,1114285,939000
127,ZI11216,8/1/2015,25,1190385,850000
128,ZI11216,9/1/2015,29,1206396,1050000
129,ZI11216,10/1/2015,34,1245586,1137500
130,ZI11216,11/1/2015,20,1324419,916000
131,ZI11216,12/1/2015,23,1008176,789143
132,ZI11216,1/1/2016,22,1097364,1045660
133,ZI11216,2/1/2016,18,1169333,1035500
134,ZI11216,3/1/2016,21,1377876,1350000
135,ZI11216,4/1/2016,20,1389173,875000
136,ZI11216,5/1/2016,31,1746555,1050000
137,ZI11216,6/1/2016,25,1474785,1265000
138,ZI11216,7/1/2016,19,1727570,1392000
139,ZI11216,8/1/2016,24,1131733,1005000
140,ZI11216,9/1/2016,18,1517940,1262500
141,ZI11216,10/1/2016,22,1256445,1300000
142,ZI11216,11/1/2016,27,1323295,1120000
143,ZI11216,12/1/2016,25,1116774,880100
144,ZI11216,1/1/2017,23,1335755,987000
145,ZI11216,2/1/2017,16,1213275,1175000
146,ZI11216,3/1/2017,28,1225248,960000
147,ZI11216,4/1/2017,19,1362947,1250000
148,ZI11216,5/1/2017,25,2177915,1680000
149,ZI11216,6/1/2017,33,1344515,1300000
150,ZI11216,7/1/2017,22,1545798,1363300
151,ZI11216,8/1/2017,22,1465091,1075000
152,ZI11216,9/1/2017,17,1601826,1150000
153,ZI11216,10/1/2017,18,1403782,967000
154,ZI11216,11/1/2017,22,1013834,952500
155,ZI11216,12/1/2017,15,1334233,1575000
156,ZI11216,1/1/2018,14,1274364,1180000
157,ZI11216,2/1/2018,14,1172500,1290000
158,ZI11216,3/1/2018,26,914021,815000
159,ZI11216,4/1/2018,20,1187126,902500
160,ZI11216,5/1/2018,21,1066938,999921
161,ZI11216,6/1/2018,23,1436239,1214500
162,ZI11216,7/1/2018,23,1529880,1550000
163,ZI11216,8/1/2018,25,1329735,1395000
164,ZI11216,9/1/2018,19,1863506,1510000
165,ZI11216,10/1/2018,11,1224113,1100000
166,ZI11216,11/1/2018,11,2076512,1750000
167,ZI11216,12/1/2018,15,1165260,875000
168,ZI11216,1/1/2019,9,964678,669000
169,ZI11216,2/1/2019,7,2528929,2265000
170,ZI11216,4/1/2019,15,1418806,1350000
171,ZI11216,5/1/2019,15,1603333,1650000
172,ZI11216,6/1/2019,17,1122912,1220000
173,ZI11216,7/1/2019,7,1394986,1100000
174,ZI11216,8/1/2019,13,1964968,1298000
175,ZI11216,10/1/2019,20,1288371,1203750
176,ZI11216,11/1/2019,16,1475906,1287500
177,ZI11216,12/1/2019,16,1489375,1540000
